question,answer,answer_index,opa,opb,opc,opd,generated_explanation,subject_name,cleaned_question
Which of the following hea sound may be a normal finding during pregnancy?,S3,opb,Fixed splitting of S2,S3,S4,Pericardial knock,"Which of the following hea sound may be a normal finding during pregnancy? S3. Here is an additional explanation: Ans. b. S3Ref Ganong's Review of Medical Physiology 2511' edn; Page no. 542Hea SoundsCauseCharactersSite of auscultationPhonocar- diogramECG correlation51-Vibrations set up by suddenclosure of AV valvesat the sta of ventricular systole, during phaseof isovolumetric contraction. Long & soft LUBB Duration -0.15 sFrequency- 25 - 45 HzBest heard over mitral and tricuspid areaSingle group of 9-13 waves - rescendoand diminuendo series of wavesCoincides with peak of R wave52 - Vibrations with closure ofsemilunar valves ust at the onset of ventricular diastole.Heard as a single sound during expiration but during inspiration the increased output of the right hea causes a physiological splitting. Sho,loud High Pitched DUBB Duration0.12 s Frequency 50 HzBest heard over aoic and pulmonary area Single group of 4-6 waves having same amplitudeCoincides with end of T wave CauseCharactersSite of auscultationPhonocar- diogramECG correlation53 -- Vibrations set up in cardiac wallby inrush of blood during rapid fillingphase of ventricular diastole. It may be heard duringlate pregnancy. In children and young adults, is a normalfinding.Sho, soft Low pitched Duration --0.1 sNormally cannot be heard byauscultation with stethoscope 1-- 4 waves grouped togetherAppears between T and P waves54 -- Vibrations set up during atrialsystole Coincides with last rapid filling phaseof ventricular diastole. Examples include concentrichyperophy, aoic stenosis, and myocardial infarction. Sho, low pitched Duration -- 0.03 sFrequency --3 HzNormally cannot be heard by auscultationwith stethoscope1-2 waves with very low amplitudeCoincides with interval betweenend of P wave and onset of Q wave",Physiology,following hea sound may normal finding pregnancy
All of the following about Vitamin D metabolism are true except,"Williams syndrome is associated with obesity, mental retardation, precocious puberty",opd,25–α hydroxylation takes place in liver,1–α hydroxylation takes place in kidney,Daily requirement in the absence of sun–light is 450-6001U/day,"Williams syndrome is associated with obesity, mental retardation, precocious puberty","All of the following about Vitamin D metabolism are true except Williams syndrome is associated with obesity, mental retardation, precocious puberty. Here is an additional explanation: In Williams syndrome there is failure to gain weight (not obesity) and delay in development (not-precocious puberty)

Williams syndrome

Williams syndrome is a rare neurodevelopmental disorder characterized by:


Unusual facial features: Elfin facial appearance, widely spaced teeth, a long philthrum along with a low nasal bridge, an unusually cheerful demeanor and ease with strangers.
Heart defects: Supravalvular aortic stenosis.
Development delay: Mental retardation, failure to gain weight (failure to thrive), low muscle tone.
Transient hypercalcemia


Other features include GI problems (Colic, abdominal pain, diverticulitis), nocturnal enuresis, dental irregularities, hypothyroidism, hyperacussis and photophobia.

Vitamin D 

It occurs mainly in two forms


Vit D3 —> Cholecalciferol - synthesized in skin under the influence of UV rays from 7-dehydrocholesterol.
Vit D2 —) Calciferol - present in irradiatiate food-yeast, fungi, bread.


Activation of Vit D takes place in following manner.",Pediatrics,following Vitamin metabolism true except
"Oral hairy leukoplakia is seen in AIDS patients. The most
likely site of appearance is:",Lateral borders of tongue,opa,Lateral borders of tongue,Sublingual mucosa,Soft palate,Buccal mucosa,"Oral hairy leukoplakia is seen in AIDS patients. The most
likely site of appearance is: Lateral borders of tongue. ",Pathology,Oral hairy leukoplakia seen AIDS patients likely site appearance
Most appropriate pontic design is:,Should contact mucosa but should not irritate it,opc,It should fill the missing teeth area,Greater lingual embrasure,Should contact mucosa but should not irritate it,None of the above,Most appropriate pontic design is: Should contact mucosa but should not irritate it. ,Dental,appropriate pontic design
Which of the following is not a general compartment of body fluid ?,Intracellular,opb,Peritoneal,Intracellular,Interstitial,Blood plasma,Which of the following is not a general compartment of body fluid ? Intracellular. ,Physiology,following general compartment body fluid
Which of the following is true about carbamazepine?,Has been known to cause Steven-Johnson's syndrome,opb,Not associated with agranulocytosis,Has been known to cause Steven-Johnson's syndrome,Causes serious nephrogenic toxicity,Drug monitoring is not required,Which of the following is true about carbamazepine? Has been known to cause Steven-Johnson's syndrome. Here is an additional explanation: Answer- B. Has been known to cause Steven-Johnson's syndromeCarbamazepine has been known to cause Steven-Johnson's syndrome.High risk-NevirapineOxicam (NSAlDs)ThiacetazoneAllopurinolCarbamazepineLamotrigine,Pharmacology,following true carbamazepine
"Regarding Evidence Based Medicine (EBM), all of the ing arc true, except:",EBM depends on clinical model and decision analysis to base its recommendations,opa,EBM depends on clinical model and decision analysis to base its recommendations,EBM objectively evaluates the quality of clinical research by critical assessing techniques repoed by researchers in publications,"The strongest argument for the therapeutic intervention is systemic review or meta-analysis of triple blinded, randomized, placebo-controlled clinical trials with allocation concealment and complete follow-up involving a homogenous population of patients or medical disorders",The weakest argument is the opinion of expes or medical boards,"Regarding Evidence Based Medicine (EBM), all of the ing arc true, except: EBM depends on clinical model and decision analysis to base its recommendations. Here is an additional explanation: Answer: a. EBM depends on clinical model and decision analysis to base its recommendations It aims to apply the best available evidence gained from the scientific method to medical decision-makingand it seeks to assess the quality for evidence of the risks and benefits of treatments.EBM is the conscientious, explicit and judicious use of current best evidence in making decisions about the care of individual patients",Social & Preventive Medicine,Regarding Evidence Based Medicine EBM ing arc true except
Pharyngotympanic tube is supplied by all except:,Ascending palatine,opb,Ascending pharyngeal,Ascending palatine,Middle meningeal artery,Artery of pterygoid canal,Pharyngotympanic tube is supplied by all except: Ascending palatine. ,Anatomy,Pharyngotympanic tube supplied except
Which one of the following is a connective tissue tumour:,Lipoma,opa,Lipoma,Melanoma,Carcinoma,Papilloma,Which one of the following is a connective tissue tumour: Lipoma. ,Pathology,one following connective tissue tumour
"In a patient with thrombocytopenia, what is the target platelet count after transfusion to perform an invasive procedure?","50,000",opc,"30,000","40,000","50,000","60,000","In a patient with thrombocytopenia, what is the target platelet count after transfusion to perform an invasive procedure? 50,000. Here is an additional explanation: Ans: C. 50,000(Ref Bailey 27/e p22-23, 26/e p23, Nelson 20/e p2374).Target platelet count after transfusion for performing invasive procedure in thrombocytopenic patient = 50, 000.Blood ProductStandard GuidelinesFFPIf prothrombin time (PT) or paial thromboplastin time (PTT) > 1.5 times normal.CryoprecipitateIf fibrinogen < 0.8 g/LPlateletsIf platelet count <50 x 109/mL",Surgery,patient thrombocytopenia target platelet count transfusion perform invasive procedure
Sjogren's syndrome includes all except:,Lymphoma,opd,Xerostomia,Keratoconjunctivitis,Arthritis,Lymphoma,Sjogren's syndrome includes all except: Lymphoma. ,Pathology,Sjogren syndrome includes except
Which of the following occurs most commonly on tongue?,Lymphangioma and granular cell myoblastoma,opa,Lymphangioma and granular cell myoblastoma,Lipoma and fibroma,Neuroblastoma and lipoma,Lymphangioma and fibroma,Which of the following occurs most commonly on tongue? Lymphangioma and granular cell myoblastoma. ,Pathology,following occurs commonly tongue
Vitamin D deficiency,Does not affect dentin,opb,Does not affect enamel,Does not affect dentin,Does not affect tooth development,All of the above.,Vitamin D deficiency Does not affect dentin. ,Dental,Vitamin deficiency
Pulp proper resembles,Loose connective tissue,opa,Loose connective tissue,Fine nerve fibers and blood vessels,Multipotent cells,All of the above,Pulp proper resembles Loose connective tissue. ,Dental,Pulp proper resembles
Best surgery to relieve intractable veigo in a menieres disease patient is?,Surgical Labyinthectomy,opa,Surgical Labyinthectomy,Vestibular neurectomy,Endolymphatic sac decompression,Cochleosacculotomy,"Best surgery to relieve intractable veigo in a menieres disease patient is? Surgical Labyinthectomy. Here is an additional explanation: Gold standard treatment for intractable veigo in patient of Menier's disease - Surgical Labyinthectomy Rx of Menier's disease Acute episode: Labyrinthine sedatives Maintenance phase Medical K+sparing diuretics B blockers Antihistamines Surgical Conservative :Decompression of endolymphatic sac ,Vestibular neurectomy. Radical :Surgical Labyinthectomy Intratympanic Gentamycin therapy Silverstein microwick microcatheter Meniett's device",ENT,Best surgery relieve intractable veigo menieres disease patient
A G6+0+0 lady with h/o recurrent missed aboions at 14-16 weeks comes to you with a missed aboion at 12 weeks. Which of the following tests is not warranted?,VDRL for husband and wife,opb,Lupus anticoagulant,VDRL for husband and wife,Anticardiolipin antibody,Fetal karyotype,"A G6+0+0 lady with h/o recurrent missed aboions at 14-16 weeks comes to you with a missed aboion at 12 weeks. Which of the following tests is not warranted? VDRL for husband and wife. Here is an additional explanation: Ans: B. VDRL for husband and wife(Ref Williams 24/e p358-359; Dutta 8/e p343, 7/e p167)VDRL:Simple test.Performed in initial work-up for all multiple aboion cases.All aboions are by 16th week while in syphilis, usually there is a improvement in the duration of pregnancy (Kassowitz Law).Kassowitz law:For untreated syphilis woman with series of pregnancies - Have lesser likelihood of infection of fetus from later pregnancies.",Gynaecology & Obstetrics,lady recurrent missed aboions weeks comes missed aboion weeks following tests warranted
